announcement_date,effective_date,index_name,action,company_name,ticker,gics_sector,source_type,source_url,notes
2023-12-01,2023-12-18,S&P 500,Deletion,Alaska Air Group,ALK,Industrials,S&P DJI Press Release,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2023-12-01,2023-12-18,S&P 500,Deletion,SolarEdge Technologies,SEDG,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Quarterly rebalance"
2022-01-26,2022-02-02,S&P 500,Addition,Constellation Energy,CEG,Utilities,S&P DJI Press Release,https://press.spglobal.com/2022-01-26-Constellation-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Exelon spin-off; S&P official table gives February 2 addition date"
2022-01-26,2022-02-03,S&P 500,Deletion,Gap,GPS,Consumer Discretionary,S&P DJI Press Release,https://press.spglobal.com/2022-01-26-Constellation-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,"Removed following Constellation Energy addition; S&P official table gives February 3 deletion date"
2022-02-10,2022-02-15,S&P 500,Addition,Nordson,NDSN,Industrials,S&P DJI Press Release,https://press.spglobal.com/2022-02-10-Nordson-Set-to-Join-S-P-500-PDC-Energy-to-Join-S-P-MidCap-400-XPEL-to-Join-S-P-SmallCap-600,"Replaced Xilinx following AMD acquisition"
2022-02-10,2022-02-15,S&P 500,Deletion,Xilinx,XLNX,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2022-02-10-Nordson-Set-to-Join-S-P-500-PDC-Energy-to-Join-S-P-MidCap-400-XPEL-to-Join-S-P-SmallCap-600,"Acquired by Advanced Micro Devices"
2022-02-25,2022-03-02,S&P 500,Addition,Molina Healthcare,MOH,Health Care,S&P DJI Press Release,https://press.spglobal.com/2022-02-25-Molina-Healthcare-Set-to-Join-S-P-500-Range-Resources-to-Join-S-P-MidCap-400-Golden-Entertainment-to-Join-S-P-SmallCap-600,"Replaced IHS Markit following acquisition"
2022-02-25,2022-03-02,S&P 500,Deletion,IHS Markit,INFO,Industrials,S&P DJI Press Release,https://press.spglobal.com/2022-02-25-Molina-Healthcare-Set-to-Join-S-P-500-Range-Resources-to-Join-S-P-MidCap-400-Golden-Entertainment-to-Join-S-P-SmallCap-600,"Acquired by S&P Global"
2022-03-29,2022-04-04,S&P 500,Addition,Camden Property Trust,CPT,Real Estate,S&P DJI Press Release,https://press.spglobal.com/2022-03-29-Camden-Property-Trust-Set-to-Join-S-P-500-Matador-Resources-to-Join-S-P-MidCap-400-Vir-Biotechnology-to-Join-S-P-SmallCap-600,"Replaced People's United Financial"
2022-03-29,2022-04-04,S&P 500,Deletion,People's United Financial,PBCT,Financials,S&P DJI Press Release,https://press.spglobal.com/2022-03-29-Camden-Property-Trust-Set-to-Join-S-P-500-Matador-Resources-to-Join-S-P-MidCap-400-Vir-Biotechnology-to-Join-S-P-SmallCap-600,"Acquired by M&T Bank"
2022-04-07,2022-04-11,S&P 500,Addition,Warner Bros. Discovery,WBD,Communication Services,S&P DJI Press Release,https://press.spglobal.com/2022-04-07-S-P-Dow-Jones-Indices-Announces-Treatment-of-AT-T-Transaction-with-Discovery,"WarnerMedia-Discovery transaction consolidated Discovery share classes into WBD"
2022-04-07,2022-04-11,S&P 500,Deletion,Discovery Inc Class A,DISCA,Communication Services,S&P DJI Press Release,https://press.spglobal.com/2022-04-07-S-P-Dow-Jones-Indices-Announces-Treatment-of-AT-T-Transaction-with-Discovery,"Discovery Class A converted into Warner Bros. Discovery"
2022-04-07,2022-04-11,S&P 500,Deletion,Discovery Inc Class C,DISCK,Communication Services,S&P DJI Press Release,https://press.spglobal.com/2022-04-07-S-P-Dow-Jones-Indices-Announces-Treatment-of-AT-T-Transaction-with-Discovery,"Discovery Class C converted into Warner Bros. Discovery"
2022-06-03,2022-06-08,S&P 500,Addition,VICI Properties,VICI,Real Estate,S&P DJI Press Release,https://press.spglobal.com/2022-06-03-Keurig-Dr-Pepper%2C-VICI-Properties-and-ON-Semiconductor-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Replaced Cerner following Oracle acquisition"
2022-06-03,2022-06-08,S&P 500,Deletion,Cerner,CERN,Health Care,S&P DJI Press Release,https://press.spglobal.com/2022-06-03-Keurig-Dr-Pepper%2C-VICI-Properties-and-ON-Semiconductor-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Acquired by Oracle"
2022-06-03,2022-06-21,S&P 500,Addition,Keurig Dr Pepper,KDP,Consumer Staples,S&P DJI Press Release,https://press.spglobal.com/2022-06-03-Keurig-Dr-Pepper%2C-VICI-Properties-and-ON-Semiconductor-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2022-06-03,2022-06-21,S&P 500,Addition,ON Semiconductor,ON,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2022-06-03-Keurig-Dr-Pepper%2C-VICI-Properties-and-ON-Semiconductor-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2022-06-03,2022-06-21,S&P 500,Deletion,Under Armour Class A,UAA,Consumer Discretionary,S&P DJI Press Release,https://press.spglobal.com/2022-06-03-Keurig-Dr-Pepper%2C-VICI-Properties-and-ON-Semiconductor-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance; one of two Under Armour security lines removed"
2022-06-03,2022-06-21,S&P 500,Deletion,Under Armour Class C,UA,Consumer Discretionary,S&P DJI Press Release,https://press.spglobal.com/2022-06-03-Keurig-Dr-Pepper%2C-VICI-Properties-and-ON-Semiconductor-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance; second Under Armour security line removed"
2022-06-03,2022-06-21,S&P 500,Deletion,IPG Photonics,IPGP,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2022-06-03-Keurig-Dr-Pepper%2C-VICI-Properties-and-ON-Semiconductor-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2022-09-02,2022-09-19,S&P 500,Addition,CoStar Group,CSGP,Real Estate,S&P DJI Press Release,https://press.spglobal.com/2022-09-02-CoStar-Group%2C-Invitation-Homes-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2022-09-02,2022-09-19,S&P 500,Addition,Invitation Homes,INVH,Real Estate,S&P DJI Press Release,https://press.spglobal.com/2022-09-02-CoStar-Group%2C-Invitation-Homes-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2022-09-02,2022-09-19,S&P 500,Deletion,PVH,PVH,Consumer Discretionary,S&P DJI Press Release,https://press.spglobal.com/2022-09-02-CoStar-Group%2C-Invitation-Homes-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2022-09-02,2022-09-19,S&P 500,Deletion,PENN Entertainment,PENN,Consumer Discretionary,S&P DJI Press Release,https://press.spglobal.com/2022-09-02-CoStar-Group%2C-Invitation-Homes-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2022-09-23,2022-10-03,S&P 500,Addition,PG&E,PCG,Utilities,S&P DJI Press Release,https://press.spglobal.com/2022-09-23-PG-E-and-EQT-Set-to-Join-S-P-500-ExlService-to-Join-S-P-MidCap-400-Others-to-Join-S-P-SmallCap-600,"Replaced Citrix Systems"
2022-09-23,2022-10-03,S&P 500,Addition,EQT,EQT,Energy,S&P DJI Press Release,https://press.spglobal.com/2022-09-23-PG-E-and-EQT-Set-to-Join-S-P-500-ExlService-to-Join-S-P-MidCap-400-Others-to-Join-S-P-SmallCap-600,"Replaced Duke Realty"
2022-09-23,2022-10-03,S&P 500,Deletion,Citrix Systems,CTXS,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2022-09-23-PG-E-and-EQT-Set-to-Join-S-P-500-ExlService-to-Join-S-P-MidCap-400-Others-to-Join-S-P-SmallCap-600,"Acquired by Vista Equity Partners"
2022-09-23,2022-10-03,S&P 500,Deletion,Duke Realty,DRE,Real Estate,S&P DJI Press Release,https://press.spglobal.com/2022-09-23-PG-E-and-EQT-Set-to-Join-S-P-500-ExlService-to-Join-S-P-MidCap-400-Others-to-Join-S-P-SmallCap-600,"Acquired by Prologis"
2022-10-06,2022-10-12,S&P 500,Addition,Targa Resources,TRGP,Energy,S&P DJI Press Release,https://press.spglobal.com/2022-10-06-Targa-Resources-Set-to-Join-S-P-500-Lantheus-Holdings-to-Join-S-P-MidCap-400-Payoneer-Global-to-Join-S-P-SmallCap-600,"Replaced Nielsen Holdings"
