filename,catalog_md5,catalog_size_bytes
20140101.gkg.csv.zip,5cf8e6d8dae7fa6e0802825c9bfa6230,9061067
20140102.gkg.csv.zip,a7f4713dcdf7b32a92a357a4b3def965,15382942
20140103.gkg.csv.zip,0d4c1ecbb4e60acefa881729b5d7dddf,14346396
20140104.gkg.csv.zip,47da3e1c1fc9ee03e5f3eff7d8d51ea0,8122262
20140105.gkg.csv.zip,aeeabfd80e309003a00168a73689e667,9785330
20140106.gkg.csv.zip,b1348dd971be4873e97a452858fc45fa,16455089
20140107.gkg.csv.zip,0bc783cc598e6b6723ab05015bca20aa,17494440
20140108.gkg.csv.zip,8517caae34d4de55240aca91e2a6c37b,18527763
20140109.gkg.csv.zip,4d2125c8b39a8536d32f332474291b26,18328627
20140110.gkg.csv.zip,704fee43b43b0dfc6d6f80d25314e63e,16486332
20140111.gkg.csv.zip,8ec68a77e701b763603c7b16f7635bd7,9959226
20140112.gkg.csv.zip,cd26ca76d9eeffb8638c0574daa9159f,10099717
20140113.gkg.csv.zip,48bce722edc156430a718c096e652762,15966244
20140114.gkg.csv.zip,e04379bae29bfcf6c598bc802ee12623,18452016
20140115.gkg.csv.zip,aaa64aadced1a4c46867dbc69ba73e51,19594891
20140116.gkg.csv.zip,bcb95b9c0af31577d9c49aab9404cf8b,19355105
20140117.gkg.csv.zip,c3abf93871d444241f2afb09ea9003c9,3041953
20140118.gkg.csv.zip,5c81e3b06910ccdae2e8b2058add97fc,1810605
20140119.gkg.csv.zip,a6ba3b0f67ba18ba457896fd20539d2e,1805522
20140120.gkg.csv.zip,7690c8bc692e953ec3256a7f78fbfe9b,2954275
20140121.gkg.csv.zip,0b7f8badcf74e789aa9911d1ea167fc4,3304084
20140122.gkg.csv.zip,88d873a2cdaa05f6cfd5963b4204a776,3486068
20140126.gkg.csv.zip,1d2c34af56ae8f16747f36c86d8115e9,7092395
20140127.gkg.csv.zip,b76f45d8250b0d4ff85404dae4db7f89,18205113
20140128.gkg.csv.zip,c80a677a02d74ac762620be6090a34b9,19606120
20140129.gkg.csv.zip,8d711e388755390e3de7bf7047031ea7,18017521
20140130.gkg.csv.zip,619450b6d6ebf46d9cee75f80dcc8952,15615744
20140131.gkg.csv.zip,4d01a8c5edd3b91bdb9be33adbc6eb7c,13447894
20140201.gkg.csv.zip,5baccdd44da060fa451a30b5b1faa0d7,8831513
20140202.gkg.csv.zip,ffc46da1e64885a9d371716cea5ac80d,9333532
20140203.gkg.csv.zip,f8e66c7b32e919a2036d5eda1c815cd2,16031199
20140204.gkg.csv.zip,a78936e338c804b69fd6b47af6e7cd52,17267434
20140205.gkg.csv.zip,7f7ed5ead732cd58c0b7bccbf335583a,17209481
20140206.gkg.csv.zip,982c4eb891f3e966e836c31d34ce4c9c,17190951
20140207.gkg.csv.zip,5bf70085cd6e63530d31eaf9bbcaf122,15369689
20140208.gkg.csv.zip,e451802c9d7f8a3173bd44527c7c364f,8693860
20140209.gkg.csv.zip,40e3952ff2a6e99d7e85477191a53506,9193431
20140210.gkg.csv.zip,bd68bc04e67b286f232f78dae819456d,16770087
20140211.gkg.csv.zip,81921288a2bd80a54370111e542663ec,17705421
20140212.gkg.csv.zip,f22ad187f357a3ddfdc831460b58f3ff,17846709
20140213.gkg.csv.zip,9c132794e3ba9bc6c5c3f802d6295ac5,17779689
20140214.gkg.csv.zip,6d2c29ab8cc4c23e5b06b3b2bad5a48a,16280254
20140215.gkg.csv.zip,2ea653346cbfaef006380689235ecdab,9036361
20140216.gkg.csv.zip,e624f1e17123da2350a9af20ef06ea92,8658943
20140217.gkg.csv.zip,046ed623fb8d8cba6fcb5761195957e2,16929591
20140218.gkg.csv.zip,18c39f855ea7aa32d5f0d2cbb8d51ff4,19297112
20140219.gkg.csv.zip,f919771a4bb55e874893dfb6680af49c,20339047
