security_key,latest_project_ticker,canonical_company_name,project_name_key,structural_ambiguity_tier,stage3b_mapping_status,candidate_sec_cik,sec_nport_observation_rows,sec_nport_in_membership_rows,sec_nport_pre_window_support_rows,sec_nport_unique_name_count,sec_nport_name_keys_pipe,sec_nport_raw_names_pipe,sec_nport_first_observed_date,sec_nport_last_observed_date,project_current_name_seen_in_sec_nport_flag,mapped_alias_event_count,project_period_alias_event_count,sec_former_name_count_for_cik,project_period_sec_former_name_count,pit_name_evidence_status,pit_name_review_flag,review_priority
MXIM,MXIM,Maxim Integrated Products,MAXIM INTEGRATED PRODUCTS,LOW,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
NLSN,NLSN,Nielsen Holdings,NIELSEN,HIGH,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
NOV,NOV,NOV,NOV,HIGH,REVIEW_TICKER_ONLY,0001021860,0,0,0,0,,,,,0,0,0,2,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
NWL,NWL,Newell Brands,NEWELL BRANDS,MEDIUM,REVIEW_TICKER_ONLY,0000814453,0,0,0,0,,,,,0,0,0,4,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
OGN,OGN,Organon,ORGANON,HIGH,REVIEW_TICKER_ONLY,0001821825,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
PBCT,PBCT,People's United Financial,PEOPLE S UNITED FINANCIAL,LOW,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
PENN,PENN,Penn National Gaming,PENN NATIONAL GAMING,LOW,REVIEW_TICKER_ONLY,0000921738,0,0,0,0,,,,,0,0,0,1,1,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
PHIN,PHIN,PHINIA,PHINIA,HIGH,REVIEW_TICKER_ONLY,0001968915,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
PRGO,PRGO,Perrigo Company,PERRIGO,HIGH,REVIEW_TICKER_ONLY,0001585364,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
PVH,PVH,PVH,PVH,HIGH,REVIEW_TICKER_ONLY,0000078239,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
PXD,PXD,Pioneer Natural Resources,PIONEER NATURAL RESOURCES,LOW,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
QRVO,QRVO,Qorvo,QORVO,HIGH,REVIEW_TICKER_ONLY,0001604778,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
RHI,RHI,Robert Half,ROBERT HALF,MEDIUM,REVIEW_TICKER_ONLY,0000315213,0,0,0,0,,,,,0,0,0,2,1,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
RTX,RTX,RTX CORP,RTX,HIGH,AUTO_SOURCE_AGREEMENT,0000101829,21,20,1,2,RAYTHEON TECHNOLOGIES|RTX,RTX Corp|Raytheon Technologies Corp,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
RVTY,RVTY,REVVITY INC,REVVITY,HIGH,AUTO_SOURCE_AGREEMENT,0000031791,21,20,1,2,PERKINELMER|REVVITY,PerkinElmer Inc|Revvity Inc,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
SBNY,SBNY,Signature Bank,SIGNATURE BANK,MEDIUM,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
SEDG,SEDG,SolarEdge Technologies,SOLAREDGE TECHNOLOGIES,MEDIUM,REVIEW_TICKER_ONLY,0001419612,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
SEE,SEE,Sealed Air,SEALED AIR,MEDIUM,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
SIVB,SIVB,SVB Financial Group,SVB FINANCIAL GROUP,LOW,AUTO_UNIQUE_EXACT_NAME,0000719739,0,0,0,0,,,,,0,0,0,1,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
SLB,SLB,SLB LTD,SLB,HIGH,REVIEW_TICKER_ONLY,0000087347,14,14,0,2,SCHLUMBERGER NV|SLB,SLB Ltd|Schlumberger NV,2022-03-31,2025-12-31,1,0,0,3,1,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
SLG,SLG,SL Green Realty,SL GREEN REALTY,LOW,REVIEW_TICKER_ONLY,0001040971,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
SOLS,SOLS,Solstice Advance Materials,SOLSTICE ADVANCE MATERIALS,LOW,REVIEW_TICKER_ONLY,0002064953,0,0,0,0,,,,,0,0,0,1,1,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
SRE,SRE,SEMPRA,SEMPRA,HIGH,AUTO_SOURCE_AGREEMENT,0001032208,21,20,1,2,SEMPRA|SEMPRA ENERGY,Sempra|Sempra Energy,2020-12-31,2025-12-31,1,0,0,2,1,REVIEW_MULTIPLE_SEC_NPORT_NAMES,1,1
TFX,TFX,Teleflex,TELEFLEX,HIGH,REVIEW_TICKER_ONLY,0000096943,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
TIF,TIF,Tiffany & Co,TIFFANY AND,MEDIUM,AUTO_UNIQUE_EXACT_NAME,0000098246,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
TWTR,TWTR,Twitter,TWITTER,HIGH,UNRESOLVED,,0,0,0,0,,,,,0,0,0,0,0,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1
