security_key,issuer_cik,latest_project_ticker,structural_ambiguity_tier,eligible_anchor_windows,nonzero_anchor_windows,total_matched_source_document_weight,total_source_document_weight,any_nonzero_window_flag,two_plus_nonzero_windows_flag,nonzero_window_rate
JCI,0000833444,JCI,LOW,5,5,109,3470614,1,1,1.0
JKHY,0000779152,JKHY,LOW,5,0,0,3470614,0,0,0.0
JNJ,0000200406,JNJ,MEDIUM,5,1,1,3470614,1,0,0.2
JNPR,0001043604,JNPR,MEDIUM,4,4,176,2873133,1,1,1.0
JPM,0000019617,JPM,MEDIUM,5,0,0,3470614,0,0,0.0
K,0000055067,K,HIGH,5,3,58,3164673,1,1,0.6
KDP,0001418135,KDP,LOW,3,3,23,2112131,1,1,1.0
KEY,,KEY,HIGH,5,5,1222,3470614,1,1,1.0
KEYS,0001601046,KEYS,LOW,5,5,34,3470614,1,1,1.0
KHC,0001637459,KHC,LOW,5,5,134,3470614,1,1,1.0
KIM,0000879101,KIM,MEDIUM,5,5,26,3470614,1,1,1.0
KKR,0001404912,KKR,HIGH,2,0,0,1293786,0,0,0.0
KLAC,0000319201,KLAC,HIGH,5,0,0,3470614,0,0,0.0
KMB,0000055785,KMB,MEDIUM,5,5,83,3470614,1,1,1.0
KMI,0001506307,KMI,MEDIUM,5,5,75,3470614,1,1,1.0
KMX,0001170010,KMX,HIGH,4,4,34,2873133,1,1,1.0
KO,0000021344,KO,LOW,5,5,297,3470614,1,1,1.0
KR,0000056873,KR,HIGH,5,5,140,3470614,1,1,1.0
KSU,0000054480,KSU,LOW,1,1,8,768867,1,0,1.0
KVUE,0001944048,KVUE,HIGH,2,2,13,1293786,1,1,1.0
L,0000060086,L,HIGH,5,2,2,3470614,1,1,0.4
LDOS,0001336920,LDOS,HIGH,5,5,20,3470614,1,1,1.0
LEG,0000058492,LEG,LOW,1,0,0,768867,0,0,0.0
LEN,0000920760,LEN,LOW,5,5,131,3470614,1,1,1.0
LH,0000920148,LH,HIGH,5,4,43,3470614,1,1,0.8
LHX,0000202058,LHX,MEDIUM,5,0,0,3470614,0,0,0.0
LII,0001069202,LII,MEDIUM,1,1,2,597481,1,0,1.0
LIN,0001707925,LIN,HIGH,5,5,23,3470614,1,1,1.0
LKQ,0001065696,LKQ,HIGH,5,0,0,3470614,0,0,0.0
LLY,0000059478,LLY,MEDIUM,5,3,11,3470614,1,1,0.6
LMT,0000936468,LMT,MEDIUM,5,5,1253,3470614,1,1,1.0
LNC,0000059558,LNC,MEDIUM,3,3,22,2176828,1,1,1.0
LNT,0000352541,LNT,MEDIUM,5,5,113,3470614,1,1,1.0
LOW,0000060667,LOW,LOW,5,0,0,3470614,0,0,0.0
LRCX,0000707549,LRCX,MEDIUM,5,5,164,3470614,1,1,1.0
LULU,0001397187,LULU,MEDIUM,2,2,214,1293786,1,1,1.0
LUMN,0000018926,LUMN,MEDIUM,2,2,13,1358483,1,1,1.0
LUV,0000092380,LUV,MEDIUM,5,5,1198,3470614,1,1,1.0
LVS,0001300514,LVS,LOW,5,5,1434,3470614,1,1,1.0
LW,0001679273,LW,MEDIUM,5,5,20,3470614,1,1,1.0
LYB,0001489393,LYB,LOW,5,0,0,3470614,0,0,0.0
LYV,0001335258,LYV,LOW,5,5,14,3470614,1,1,1.0
MA,0001141391,MA,LOW,5,5,1927,3470614,1,1,1.0
MAA,0000912595,MAA,LOW,5,0,0,3470614,0,0,0.0
MAR,0001048286,MAR,LOW,5,5,1032,3470614,1,1,1.0
MAS,0000062996,MAS,HIGH,5,3,7,3470614,1,1,0.6
MCD,0000063908,MCD,MEDIUM,5,5,750,3470614,1,1,1.0
MCHP,0000827054,MCHP,MEDIUM,5,5,172,3470614,1,1,1.0
MCK,0000927653,MCK,HIGH,5,5,79,3470614,1,1,1.0
MCO,0001059556,MCO,HIGH,5,1,2,3470614,1,0,0.2
MDLZ,0001103982,MDLZ,LOW,5,5,197,3470614,1,1,1.0
MDT,0001613103,MDT,HIGH,5,5,81,3470614,1,1,1.0
MET,0001099219,MET,HIGH,5,5,63,3470614,1,1,1.0
META,0001326801,META,LOW,5,5,36031,3470614,1,1,1.0
MGM,0000789570,MGM,LOW,5,5,10,3470614,1,1,1.0
MHK,0000851968,MHK,MEDIUM,5,5,140,3470614,1,1,1.0
MKC,0000063754,MKC,LOW,5,0,0,3470614,0,0,0.0
MKTX,0001278021,MKTX,HIGH,4,4,19,2873133,1,1,1.0
MLM,0000916076,MLM,LOW,5,5,22,3470614,1,1,1.0
MMM,0000066740,MMM,HIGH,5,0,0,3470614,0,0,0.0
MNST,0000865752,MNST,MEDIUM,5,5,49,3470614,1,1,1.0
MO,0000764180,MO,MEDIUM,5,5,148,3470614,1,1,1.0
MOH,0001179929,MOH,MEDIUM,4,4,29,2701747,1,1,1.0
MOS,0001285785,MOS,LOW,5,5,382,3470614,1,1,1.0
