security_key,project_ticker,gics_sectors_seen,winner_return_months,cumulative_signed_commonality_contribution,cumulative_absolute_commonality_contribution,mean_signed_commonality_contribution,max_positive_month_contribution,max_negative_month_contribution,share_of_total_absolute_commonality_contribution,absolute_signed_contribution,cumulative_share_of_total_absolute_commonality_contribution
AJG,AJG,Financials,25,0.0002284673395462843,0.008401320681375751,9.138693581851372e-06,0.000817369046269591,-0.0009892166591370648,0.0026757697645679217,0.0002284673395462843,0.5734622318634137
WDC,WDC,Information Technology,11,0.004969472650248221,0.008313155621990483,0.0004517702409316564,0.002983203024449724,-0.0007905080457659203,0.002647689727018896,0.004969472650248221,0.5761099215904326
SMCI,SMCI,Information Technology,8,-0.007327345995978729,0.008301710426584678,-0.0009159182494973411,0.00048718221530297414,-0.002659997398177731,0.002644044501586148,0.007327345995978729,0.5787539660920188
ORCL,ORCL,Information Technology,18,-0.0016887381667875037,0.00823359418979996,-9.38187870437502e-05,0.0012179655994390272,-0.0012787967055196204,0.002622349892633922,0.0016887381667875037,0.5813763159846527
ECL,ECL,Materials,13,0.001435029622281277,0.008211162376979112,0.00011038689402163669,0.0014027303049778364,-0.0010601458012411155,0.0026152054960816595,0.001435029622281277,0.5839915214807343
PCG,PCG,Utilities,17,0.0005453137822097691,0.008197970128262032,3.207728130645701e-05,0.0011316230903461457,-0.000834725887892701,0.002611003844748188,0.0005453137822097691,0.5866025253254825
NEE,NEE,Utilities,9,-0.007820634289676201,0.008173293201433928,-0.0008689593655195779,0.0001763294558788637,-0.002450414008367007,0.0026031443929794354,0.007820634289676201,0.589205669718462
OKE,OKE,Energy,8,0.001077135545858386,0.008161521929845407,0.00013464194323229824,0.0017848992851339902,-0.001760942245610786,0.0025993953142569785,0.001077135545858386,0.591805065032719
IDXX,IDXX,Health Care,17,0.0020880082442926258,0.008051513469257072,0.00012282401437015446,0.0009827719716857357,-0.000723903598329557,0.00256435828569295,0.0020880082442926258,0.5943694233184119
GDDY,GDDY,Information Technology,13,0.0005494132184547545,0.008035284862319901,4.226255526575035e-05,0.0010264674726926115,-0.0008277866519264646,0.0025591895726524154,0.0005494132184547545,0.5969286128910644
MPWR,MPWR,Information Technology,15,-0.0049480735844416686,0.008024460264761167,-0.00032987157229611124,0.0007120540561758894,-0.00212597011140177,0.0025557420038760576,0.0049480735844416686,0.5994843548949405
BBWI,BBWI,Consumer Discretionary,14,0.0027509573740256525,0.00801441318782651,0.0001964969552875466,0.002034768673691276,-0.0008968580488910639,0.0025525420707103543,0.0027509573740256525,0.6020368969656508
TKO,TKO,Communication Services,5,0.006192382116288966,0.00801429848297186,0.0012384764232577933,0.0022229879423212155,-0.0009109581833414474,0.00255250553790872,0.006192382116288966,0.6045894025035595
WST,WST,Health Care,18,-0.0012453197714110316,0.007985198803798383,-6.918443174505732e-05,0.0009266855069773803,-0.001194022332076615,0.002543237466299023,0.0012453197714110316,0.6071326399698586
PODD,PODD,Health Care,16,0.00045297914342690994,0.007983676862922019,2.831119646418187e-05,0.0021971536470482937,-0.0008880053073480111,0.0025427527373456976,0.00045297914342690994,0.6096753927072043
BKNG,BKNG,Consumer Discretionary,19,0.0004200364141813083,0.007968744687470953,2.210717969375307e-05,0.0011561304600516884,-0.0006989704912853041,0.0025379969298832167,0.0004200364141813083,0.6122133896370875
DASH,DASH,Consumer Discretionary,9,0.0009747001658887775,0.007928602022778633,0.0001083000184320864,0.0013939985152946431,-0.0023308172268229027,0.0025252117342542705,0.0009747001658887775,0.6147386013713417
APA,APA,Energy,9,0.002847524170922748,0.007920303583750595,0.00031639157454697197,0.002147813857346668,-0.0011635749318745345,0.002522568731673312,0.002847524170922748,0.6172611701030151
MRNA,MRNA,Health Care,7,-0.005063892023991542,0.007888779265573043,-0.000723413146284506,0.0005585038636694282,-0.002789219208229127,0.002512528427222715,0.005063892023991542,0.6197736985302378
CE,CE,Materials,9,-0.0012786872141171924,0.007886182690433698,-0.0001420763571241325,0.0019618776216229782,-0.001472457931879506,0.0025117014337638546,0.0012786872141171924,0.6222853999640017
ACGL,ACGL,Financials,15,0.00308700370935242,0.007856168952742534,0.00020580024729016134,0.0009784582659856508,-0.0010911056793465887,0.0025021422400511657,0.00308700370935242,0.6247875422040529
UBER,UBER,Industrials,16,-0.00046222092257623275,0.007842764706532921,-2.8888807661014547e-05,0.0008889803202918854,-0.0010701650682971647,0.0024978730688000293,0.00046222092257623275,0.6272854152728529
CZR,CZR,Consumer Discretionary,10,-0.0007824280565354675,0.007770224422476999,-7.824280565354675e-05,0.0011766369378078101,-0.0012450603873149517,0.0024747694275808227,0.0007824280565354675,0.6297601847004337
ALGN,ALGN,Health Care,13,-0.0023167008726883405,0.007657792127818763,-0.00017820775943756464,0.0007459777141756957,-0.0024940646512768955,0.0024389604225425535,0.0023167008726883405,0.6321991451229763
LIN,LIN,Materials,11,0.000869888031964063,0.007652972812638627,7.908073017855118e-05,0.0013635527519838266,-0.0013419272461538219,0.002437425499840041,0.000869888031964063,0.6346365706228163
EBAY,EBAY,Consumer Discretionary,15,0.002065581146205618,0.007645744258545728,0.00013770540974704118,0.0018643750474114417,-0.0008150314312104445,0.0024351232491324586,0.002065581146205618,0.6370716938719487
SYF,SYF,Financials,23,0.0011619858696549459,0.007545314836033235,5.052112476760634e-05,0.0010031446799055063,-0.0007348655087440841,0.0024031370861917127,0.0011619858696549459,0.6394748309581404
