analysis_month_number,ranking_month_end_date,security_key,project_ticker,gics_sector,sector_momentum_quintile,sector_neutral_leg_weight
30,2023-06-30,META,META,Communication Services,5,0.022727272727272728
30,2023-06-30,NFLX,NFLX,Communication Services,5,0.022727272727272728
30,2023-06-30,OMC,OMC,Communication Services,5,0.022727272727272728
30,2023-06-30,BKNG,BKNG,Consumer Discretionary,5,0.009090909090909092
30,2023-06-30,CMG,CMG,Consumer Discretionary,5,0.009090909090909092
30,2023-06-30,DHI,DHI,Consumer Discretionary,5,0.009090909090909092
30,2023-06-30,DRI,DRI,Consumer Discretionary,5,0.009090909090909092
30,2023-06-30,LEN,LEN,Consumer Discretionary,5,0.009090909090909092
30,2023-06-30,LVS,LVS,Consumer Discretionary,5,0.009090909090909092
30,2023-06-30,PHM,PHM,Consumer Discretionary,5,0.009090909090909092
30,2023-06-30,RCL,RCL,Consumer Discretionary,5,0.009090909090909092
30,2023-06-30,ROST,ROST,Consumer Discretionary,5,0.009090909090909092
30,2023-06-30,WYNN,WYNN,Consumer Discretionary,5,0.009090909090909092
30,2023-06-30,HSY,HSY,Consumer Staples,5,0.012987012987012986
30,2023-06-30,LW,LW,Consumer Staples,5,0.012987012987012986
30,2023-06-30,MDLZ,MDLZ,Consumer Staples,5,0.012987012987012986
30,2023-06-30,MNST,MNST,Consumer Staples,5,0.012987012987012986
30,2023-06-30,SJM,SJM,Consumer Staples,5,0.012987012987012986
30,2023-06-30,TAP,TAP,Consumer Staples,5,0.012987012987012986
30,2023-06-30,WMT,WMT,Consumer Staples,5,0.012987012987012986
30,2023-06-30,HES,HES,Energy,5,0.022727272727272728
30,2023-06-30,MPC,MPC,Energy,5,0.022727272727272728
30,2023-06-30,SLB,SLB,Energy,5,0.022727272727272728
30,2023-06-30,XOM,XOM,Energy,5,0.022727272727272728
30,2023-06-30,ACGL,ACGL,Financials,5,0.006493506493506493
30,2023-06-30,AFL,AFL,Financials,5,0.006493506493506493
30,2023-06-30,AJG,AJG,Financials,5,0.006493506493506493
30,2023-06-30,AMP,AMP,Financials,5,0.006493506493506493
30,2023-06-30,AXP,AXP,Financials,5,0.006493506493506493
30,2023-06-30,BRK.B,BRK.B,Financials,5,0.006493506493506493
30,2023-06-30,CBOE,CBOE,Financials,5,0.006493506493506493
30,2023-06-30,EG,EG,Financials,5,0.006493506493506493
30,2023-06-30,FISV,FISV,Financials,5,0.006493506493506493
30,2023-06-30,JPM,JPM,Financials,5,0.006493506493506493
30,2023-06-30,MA,MA,Financials,5,0.006493506493506493
30,2023-06-30,MCO,MCO,Financials,5,0.006493506493506493
30,2023-06-30,MSCI,MSCI,Financials,5,0.006493506493506493
30,2023-06-30,SYF,SYF,Financials,5,0.006493506493506493
30,2023-06-30,BIIB,BIIB,Health Care,5,0.007575757575757576
30,2023-06-30,BSX,BSX,Health Care,5,0.007575757575757576
30,2023-06-30,CAH,CAH,Health Care,5,0.007575757575757576
30,2023-06-30,DXCM,DXCM,Health Care,5,0.007575757575757576
30,2023-06-30,GILD,GILD,Health Care,5,0.007575757575757576
30,2023-06-30,HCA,HCA,Health Care,5,0.007575757575757576
30,2023-06-30,IDXX,IDXX,Health Care,5,0.007575757575757576
30,2023-06-30,ISRG,ISRG,Health Care,5,0.007575757575757576
