security_key,project_ticker,winner_months,first_winner_month,last_winner_month,eligible_months,gics_sectors_seen,winner_sector_count,latest_winner_sector,max_consecutive_winner_streak,winner_share_of_eligible_months
GEHC,GEHC,1,36,36,25,Health Care,1,Health Care,1,0.04
DAY,CDAY,1,28,28,29,Industrials,1,Industrials,1,0.034482758620689655
DISH,DISH,1,10,10,29,Communication Services,1,Communication Services,1,0.034482758620689655
NWL,NWL,1,2,2,32,Consumer Discretionary,1,Consumer Discretionary,1,0.03125
INVH,INVH,1,36,36,40,Real Estate,1,Real Estate,1,0.025
ANSS,ANSS,1,29,29,54,Information Technology,1,Information Technology,1,0.018518518518518517
KMX,KMX,1,12,12,57,Consumer Discretionary,1,Consumer Discretionary,1,0.017543859649122806
OTIS,OTIS,1,14,14,58,Industrials,1,Industrials,1,0.017241379310344827
ADSK,ADSK,1,53,53,60,Information Technology,1,Information Technology,1,0.016666666666666666
AKAM,AKAM,1,38,38,60,Information Technology,1,Information Technology,1,0.016666666666666666
ALLE,ALLE,1,58,58,60,Industrials,1,Industrials,1,0.016666666666666666
AMCR,AMCR,1,19,19,60,Materials,1,Materials,1,0.016666666666666666
AME,AME,1,30,30,60,Industrials,1,Industrials,1,0.016666666666666666
AMT,AMT,1,52,52,60,Real Estate,1,Real Estate,1,0.016666666666666666
ARE,ARE,1,1,1,60,Real Estate,1,Real Estate,1,0.016666666666666666
BDX,BDX,1,35,35,60,Health Care,1,Health Care,1,0.016666666666666666
CHTR,CHTR,1,33,33,60,Communication Services,1,Communication Services,1,0.016666666666666666
CTSH,CTSH,1,17,17,60,Information Technology,1,Information Technology,1,0.016666666666666666
D,D,1,46,46,60,Utilities,1,Utilities,1,0.016666666666666666
DOC,DOC,1,50,50,60,Real Estate,1,Real Estate,1,0.016666666666666666
EOG,EOG,1,14,14,60,Energy,1,Energy,1,0.016666666666666666
ES,ES,1,59,59,60,Utilities,1,Utilities,1,0.016666666666666666
EXPD,EXPD,1,13,13,60,Industrials,1,Industrials,1,0.016666666666666666
GPN,GPN,1,23,23,60,Information Technology,1,Information Technology,1,0.016666666666666666
HAS,HAS,1,60,60,60,Consumer Discretionary,1,Consumer Discretionary,1,0.016666666666666666
HRL,HRL,1,21,21,60,Consumer Staples,1,Consumer Staples,1,0.016666666666666666
ITW,ITW,1,28,28,60,Industrials,1,Industrials,1,0.016666666666666666
J,J,1,18,18,60,Industrials,1,Industrials,1,0.016666666666666666
KMB,KMB,1,43,43,60,Consumer Staples,1,Consumer Staples,1,0.016666666666666666
LNT,LNT,1,14,14,60,Utilities,1,Utilities,1,0.016666666666666666
LUV,LUV,1,52,52,60,Industrials,1,Industrials,1,0.016666666666666666
MAS,MAS,1,39,39,60,Industrials,1,Industrials,1,0.016666666666666666
NKE,NKE,1,1,1,60,Consumer Discretionary,1,Consumer Discretionary,1,0.016666666666666666
PPG,PPG,1,29,29,60,Materials,1,Materials,1,0.016666666666666666
PPL,PPL,1,26,26,60,Utilities,1,Utilities,1,0.016666666666666666
SWKS,SWKS,1,2,2,60,Information Technology,1,Information Technology,1,0.016666666666666666
TEL,TEL,1,60,60,60,Information Technology,1,Information Technology,1,0.016666666666666666
VZ,VZ,1,19,19,60,Communication Services,1,Communication Services,1,0.016666666666666666
XEL,XEL,1,51,51,60,Utilities,1,Utilities,1,0.016666666666666666
