security_key_a,ticker_a,security_key_b,ticker_b,winner_months_a,winner_months_b,cooccurring_winner_months,winner_month_jaccard
FCX,FCX,TRGP,TRGP,19,19,1,0.02702702702702703
DVN,DVN,WMB,WMB,22,17,1,0.02631578947368421
MPC,MPC,WMB,WMB,23,17,1,0.02564102564102564
WMB,WMB,ADM,ADM,17,23,1,0.02564102564102564
NVDA,NVDA,WBD,WBD,39,3,1,0.024390243902439025
MPC,MPC,LYV,LYV,23,20,1,0.023809523809523808
NUE,NUE,TRGP,TRGP,26,19,1,0.022727272727272728
META,META,DVN,DVN,23,22,1,0.022727272727272728
DVN,DVN,MPC,MPC,22,23,1,0.022727272727272728
META,META,ADM,ADM,23,23,1,0.022222222222222223
META,META,MOS,MOS,23,26,1,0.020833333333333332
ADM,ADM,WELL,WELL,23,26,1,0.020833333333333332
ALB,ALB,RCL,RCL,20,30,1,0.02040816326530612
NFLX,NFLX,DVN,DVN,29,22,1,0.02
NFLX,NFLX,ADM,ADM,29,23,1,0.0196078431372549
DVN,DVN,RCL,RCL,22,30,1,0.0196078431372549
RCL,RCL,ADM,ADM,30,23,1,0.019230769230769232
DVN,DVN,WMT,WMT,22,32,1,0.018867924528301886
NUE,NUE,VST,VST,26,17,0,0.0
NUE,NUE,TPL,TPL,26,8,0,0.0
NUE,NUE,WMB,WMB,26,17,0,0.0
NUE,NUE,WBD,WBD,26,3,0,0.0
NUE,NUE,NEM,NEM,26,11,0,0.0
CEG,CEG,DVN,DVN,31,22,0,0.0
META,META,ALB,ALB,23,20,0,0.0
MOS,MOS,TRGP,TRGP,26,19,0,0.0
ALB,ALB,VST,VST,20,17,0,0.0
ALB,ALB,TRGP,TRGP,20,19,0,0.0
ALB,ALB,TPL,TPL,20,8,0,0.0
ALB,ALB,WBD,WBD,20,3,0,0.0
ALB,ALB,NEM,NEM,20,11,0,0.0
ALB,ALB,WELL,WELL,20,26,0,0.0
VST,VST,DVN,DVN,17,22,0,0.0
VST,VST,ADM,ADM,17,23,0,0.0
DVN,DVN,TRGP,TRGP,22,19,0,0.0
DVN,DVN,TPL,TPL,22,8,0,0.0
DVN,DVN,WBD,WBD,22,3,0,0.0
DVN,DVN,NEM,NEM,22,11,0,0.0
DVN,DVN,WELL,WELL,22,26,0,0.0
IRM,IRM,WBD,WBD,42,3,0,0.0
MPC,MPC,TPL,TPL,23,8,0,0.0
FCX,FCX,TPL,TPL,19,8,0,0.0
FCX,FCX,WBD,WBD,19,3,0,0.0
FCX,FCX,NEM,NEM,19,11,0,0.0
CF,CF,TRGP,TRGP,19,19,0,0.0
TRGP,TRGP,WBD,WBD,19,3,0,0.0
TRGP,TRGP,ADM,ADM,19,23,0,0.0
LLY,LLY,WBD,WBD,43,3,0,0.0
COST,COST,WBD,WBD,30,3,0,0.0
TPL,TPL,WBD,WBD,8,3,0,0.0
TPL,TPL,ADM,ADM,8,23,0,0.0
WBD,WBD,ANET,ANET,3,39,0,0.0
